latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.45687,-121.76058,345.9,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,301.6,57.5,D
37.45773,-121.74704,330.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,295.1,26.6,D
37.47651,-121.44246,335.6,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,298.9,74.2,D
37.47726,-121.42989,354.8,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,311,64.9,D
37.47751,-121.42583,344.7,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,296.7,64.9,D
37.47676,-121.43818,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,342.2,135.2,D
37.47702,-121.43401,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,347.9,135.2,D
37.47124,-121.44099,207.9,0.36,0.58,2020-08-16,2148,1,VIIRS,l,2.0NRT,318.1,126.3,D
37.47098,-121.44531,331.9,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.3,126.3,D
37.47195,-121.42917,349.3,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,295.6,7.9,D
37.47217,-121.42541,333.6,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,295.2,7.9,D
37.82457,-121.78654,356.4,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302.4,11.8,D
37.82987,-121.78625,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305,11.8,D
37.83055,-121.77472,341.1,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,296.7,16.2,D
37.83018,-121.78094,354.2,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,307.9,16.2,D
37.47149,-121.43676,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,340.6,100.2,D
37.47173,-121.43292,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,300.2,100.2,D
37.82961,-121.79047,337.8,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,301.2,11.8,D
37.83556,-121.77928,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,299.6,15.1,D
37.46709,-121.76691,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.6,8.6,D
37.46727,-121.76376,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,307.2,8.6,D
37.46744,-121.76077,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,306.6,9.1,D
37.46761,-121.7578,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.3,9.1,D
37.46778,-121.75483,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.9,11.5,D
37.46797,-121.75159,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.8,11.5,D
37.46838,-121.74453,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.5,12.3,D
37.47693,-121.77624,334.7,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302.6,4.2,D
37.49685,-121.42789,367,0.37,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.2,21.5,D
37.4575,-121.75053,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,300.2,26.6,D
37.4826,-121.4304,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,308.2,64.9,D
37.48286,-121.42611,330.6,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,297,64.9,D
37.4821,-121.43862,346.4,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.2,135.2,D
37.48234,-121.43455,260.2,0.36,0.58,2020-08-16,2148,1,VIIRS,l,2.0NRT,313.4,135.2,D
37.48796,-121.43035,367,0.36,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,302.5,39,D
37.48749,-121.4381,341.7,0.36,0.58,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.6,51.4,D
37.48599,-121.43045,367,0.37,0.58,2020-08-16,2148,1,VIIRS,h,2.0NRT,301.7,43.3,D
37.83522,-121.78506,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.9,10.8,D
37.83492,-121.79008,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.1,10.8,D
37.47715,-121.7729,352.6,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,303,4.2,D
37.47735,-121.76961,343.2,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302.1,5,D
37.47176,-121.77479,356.6,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,313.5,23.9,D
37.47197,-121.77161,345.8,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,306.1,23.9,D
37.47238,-121.76511,338.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.3,8.2,D
37.47258,-121.76186,340.4,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,305,8.7,D
37.47321,-121.75201,350.7,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.7,11,D
37.47374,-121.74377,340.6,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,298,11.8,D
37.47217,-121.76838,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,306.1,8.2,D
37.47279,-121.7587,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,306.4,8.7,D
37.84025,-121.78913,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,301.1,10.8,D
37.47298,-121.75549,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.7,11,D
37.47345,-121.74814,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.5,11.8,D
37.4666,-121.77332,338.3,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.3,23.9,D
37.46682,-121.76988,347,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,305.4,23.9,D
37.46637,-121.77692,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,309.9,92.9,D
37.46702,-121.76669,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.7,8.2,D
37.47343,-121.74837,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.4,12.3,D
37.473,-121.75571,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.3,11.5,D
37.47226,-121.76862,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,305.3,8.6,D
37.47188,-121.77503,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,313.3,24.4,D
37.47367,-121.74405,332.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,297.6,12.3,D
37.47321,-121.75225,352.1,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.2,11.5,D
37.47282,-121.75889,354.5,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,305.8,9.1,D
37.47263,-121.76208,333,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.8,9.1,D
37.47244,-121.76535,335.9,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304,8.6,D
37.47207,-121.77184,349.7,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,306,24.4,D
37.47745,-121.76984,336.8,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302.4,4.8,D
37.47725,-121.77318,349,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302.8,6.7,D
37.46628,-121.78088,330.9,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,302.8,49.5,D
37.4667,-121.77357,335.4,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304,24.4,D
37.46721,-121.76357,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,307.5,8.2,D
37.4674,-121.76057,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,306.3,8.7,D
37.46758,-121.75763,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.7,8.7,D
37.46777,-121.75465,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,304.8,11,D
37.46798,-121.7514,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.7,11,D
37.46819,-121.74802,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,301.4,11.8,D
37.46842,-121.74434,367,0.35,0.57,2020-08-16,2148,1,VIIRS,h,2.0NRT,303.8,11.8,D
37.46205,-121.76205,310.7,0.35,0.57,2020-08-16,2148,1,VIIRS,l,2.0NRT,323.6,57.5,D
37.46115,-121.77628,338.4,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,299.2,3,D
37.46142,-121.77206,337.4,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,301.8,10.7,D
37.46165,-121.76843,353.4,0.35,0.57,2020-08-16,2148,1,VIIRS,n,2.0NRT,304.4,10.7,D
37.10815,-122.28358,339.9,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,276.5,5.3,N
37.48373,-121.43026,304.5,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,268.6,2,N
37.48202,-121.42075,304.3,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,269.7,2.4,N
37.48454,-121.75153,320.3,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,279,2.8,N
37.48537,-121.75621,306.7,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,272.4,1.3,N
37.44958,-121.43915,318.2,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,267.6,5,N
37.45041,-121.4437,340.5,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,281.8,9.5,N
37.57732,-121.4581,309.2,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,291.5,2.2,N
37.51107,-121.42798,331.1,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,283.4,6.4,N
37.4526,-121.73155,322.7,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,284.5,2.6,N
37.4679,-121.73771,299.6,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,270.7,0.6,N
37.47208,-121.74129,300.9,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,270.3,0.9,N
37.47538,-121.73997,312,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,274.2,1.2,N
37.22053,-122.2979,319.9,0.4,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,287.4,1.8,N
37.21717,-122.29871,313.4,0.4,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,285.8,1.8,N
37.21638,-122.29422,309.4,0.4,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,286.6,1.5,N
37.51281,-121.43748,314.3,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,273.9,2.3,N
37.50856,-121.43381,331.8,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,282.7,6.4,N
37.50943,-121.43852,317.8,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,275,2.3,N
37.50771,-121.42911,310.9,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,278.4,6.4,N
37.45991,-121.77225,308.2,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,275.6,0.9,N
37.46075,-121.7769,301.3,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,270.7,0.9,N
37.47333,-121.78782,303.7,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,271.6,1.1,N
37.47675,-121.78712,318.3,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,269.6,1.2,N
37.47755,-121.79159,309.5,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,260.1,1.2,N
37.47622,-121.74464,306.1,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,274.8,1.2,N
37.48355,-121.78557,310.4,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,271.1,1,N
37.48436,-121.79005,318.2,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,270,1,N
37.48038,-121.74808,314.7,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,279.3,1.5,N
37.48123,-121.75282,306.9,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,275.6,1.5,N
37.48694,-121.78471,299.7,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,270.9,1,N
37.47953,-121.74337,321.2,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,281.5,1.2,N
37.47949,-121.42653,341.7,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,277,3.9,N
37.47864,-121.42183,340.8,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,272.4,3.5,N
37.48034,-121.43123,302.6,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,269,3.9,N
37.47609,-121.42748,344.4,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,270.4,3.9,N
37.4803,-121.45086,302.9,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,268.8,1.1,N
37.47524,-121.42284,308.4,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,262.6,3.5,N
37.47268,-121.42843,302.1,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,264.3,1.2,N
37.4743,-121.45718,302.4,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,266.1,0.9,N
37.03696,-122.18298,311.5,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,289.9,1.8,N
37.85423,-121.79822,302.3,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,265.5,0.7,N
37.24353,-122.24949,314.7,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,289.9,3.2,N
37.24275,-122.24503,331.5,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,289.2,3.2,N
37.48713,-121.42922,316,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,278.2,2,N
37.48627,-121.42444,318.6,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,273.7,2,N
37.48288,-121.42552,339.5,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,274.9,2,N
37.45525,-121.72651,316.3,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,279.4,2.6,N
37.55607,-121.85551,298.9,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,272.6,0.8,N
37.51094,-121.85981,307.6,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,278.8,1.3,N
37.51011,-121.85511,311.6,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,276.7,1.3,N
37.51194,-121.43272,354.4,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,295.4,6.4,N
37.45339,-121.73596,317.6,0.42,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,281.4,2.9,N
37.4854,-121.43948,303.3,0.42,0.38,2020-08-17,1006,1,VIIRS,n,2.0NRT,263.4,1.4,N
37.10736,-122.27909,303,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,276,5.3,N
37.10479,-122.28436,344.7,0.41,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,280,5.3,N
37.25389,-122.2887,330.1,0.4,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,289.5,11.1,N
37.25467,-122.29317,356.1,0.4,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,296.9,11.1,N
37.25801,-122.29224,306.8,0.4,0.37,2020-08-17,1006,1,VIIRS,n,2.0NRT,289.9,2.5,N
